ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME
ABL,"Ambler, AK",ORV,"Noorvik, AK"
ABL,"Ambler, AK",OBU,"Kobuk, AK"
ABL,"Ambler, AK",OTZ,"Kotzebue, AK"
ABL,"Ambler, AK",OTZ,"Kotzebue, AK"
ABL,"Ambler, AK",OTZ,"Kotzebue, AK"
ABL,"Ambler, AK",RDB,"Red Dog, AK"
ABL,"Ambler, AK",SHG,"Shungnak, AK"
ABL,"Ambler, AK",IAN,"Kiana, AK"
ABL,"Ambler, AK",WLK,"Selawik, AK"
ABL,"Ambler, AK",OBU,"Kobuk, AK"
ABL,"Ambler, AK",RDB,"Red Dog, AK"
ABL,"Ambler, AK",IAN,"Kiana, AK"
ABL,"Ambler, AK",OTZ,"Kotzebue, AK"
ABL,"Ambler, AK",OTZ,"Kotzebue, AK"
ABL,"Ambler, AK",SHG,"Shungnak, AK"
ABQ,"Albuquerque, NM",LAS,"Las Vegas, NV"
ABQ,"Albuquerque, NM",ORD,"Chicago, IL"
ABQ,"Albuquerque, NM",SMF,"Sacramento, CA"
ABQ,"Albuquerque, NM",SLC,"Salt Lake City, UT"
ABQ,"Albuquerque, NM",LAX,"Los Angeles, CA"
ABQ,"Albuquerque, NM",PHX,"Phoenix, AZ"
ABQ,"Albuquerque, NM",LAX,"Los Angeles, CA"
ABQ,"Albuquerque, NM",ONT,"Ontario, CA"
ABQ,"Albuquerque, NM",PHX,"Phoenix, AZ"
ABQ,"Albuquerque, NM",SDF,"Louisville, KY"
ABQ,"Albuquerque, NM",ONT,"Ontario, CA"
ABQ,"Albuquerque, NM",SLC,"Salt Lake City, UT"
ABQ,"Albuquerque, NM",SDF,"Louisville, KY"
ABQ,"Albuquerque, NM",ELP,"El Paso, TX"
ABQ,"Albuquerque, NM",SDF,"Louisville, KY"
ABQ,"Albuquerque, NM",IAH,"Houston, TX"
ABQ,"Albuquerque, NM",SVC,"Silver City/Hurley, NM"
ABQ,"Albuquerque, NM",CNM,"Carlsbad, NM"
ABQ,"Albuquerque, NM",IAH,"Houston, TX"
ABQ,"Albuquerque, NM",STL,"St. Louis, MO"
ABQ,"Albuquerque, NM",ONT,"Ontario, CA"
ABQ,"Albuquerque, NM",ELP,"El Paso, TX"
ABQ,"Albuquerque, NM",MEM,"Memphis, TN"
ABQ,"Albuquerque, NM",FMN,"Farmington, NM"
ABQ,"Albuquerque, NM",DRO,"Durango, CO"
ABQ,"Albuquerque, NM",LBB,"Lubbock, TX"
ABQ,"Albuquerque, NM",MEM,"Memphis, TN"
ABQ,"Albuquerque, NM",ORD,"Chicago, IL"
ABQ,"Albuquerque, NM",DFW,"Dallas/Fort Worth, TX"
ABQ,"Albuquerque, NM",PHX,"Phoenix, AZ"
ABQ,"Albuquerque, NM",JFK,"New York, NY"
ABQ,"Albuquerque, NM",PHX,"Phoenix, AZ"
ABQ,"Albuquerque, NM",DFW,"Dallas/Fort Worth, TX"
ABQ,"Albuquerque, NM",PHX,"Phoenix, AZ"
ABQ,"Albuquerque, NM",DEN,"Denver, CO"
ABQ,"Albuquerque, NM",DFW,"Dallas/Fort Worth, TX"
ABQ,"Albuquerque, NM",PHX,"Phoenix, AZ"
ABQ,"Albuquerque, NM",DFW,"Dallas/Fort Worth, TX"
ABQ,"Albuquerque, NM",AUS,"Austin, TX"
ABQ,"Albuquerque, NM",LAX,"Los Angeles, CA"
ABQ,"Albuquerque, NM",MSP,"Minneapolis, MN"
ABQ,"Albuquerque, NM",ATL,"Atlanta, GA"
ABQ,"Albuquerque, NM",MSP,"Minneapolis, MN"
ABQ,"Albuquerque, NM",ATL,"Atlanta, GA"
ABQ,"Albuquerque, NM",ATL,"Atlanta, GA"
ABQ,"Albuquerque, NM",IFP,"Bullhead City, AZ"
ABQ,"Albuquerque, NM",ONT,"Ontario, CA"
ABQ,"Albuquerque, NM",SAT,"San Antonio, TX"
ABQ,"Albuquerque, NM",DEN,"Denver, CO"
ABQ,"Albuquerque, NM",LAS,"Las Vegas, NV"
ABQ,"Albuquerque, NM",OAK,"Oakland, CA"
ABQ,"Albuquerque, NM",SAN,"San Diego, CA"
ABQ,"Albuquerque, NM",BWI,"Baltimore, MD"
ABQ,"Albuquerque, NM",DAL,"Dallas, TX"
ABQ,"Albuquerque, NM",HOU,"Houston, TX"
ABQ,"Albuquerque, NM",LAX,"Los Angeles, CA"
ABQ,"Albuquerque, NM",PHX,"Phoenix, AZ"
ABQ,"Albuquerque, NM",BUR,"Burbank, CA"
ABQ,"Albuquerque, NM",MDW,"Chicago, IL"
ABQ,"Albuquerque, NM",ELP,"El Paso, TX"
ABQ,"Albuquerque, NM",DEN,"Denver, CO"
ABQ,"Albuquerque, NM",LAS,"Las Vegas, NV"
ABQ,"Albuquerque, NM",OAK,"Oakland, CA"
ABQ,"Albuquerque, NM",DAL,"Dallas, TX"
ABQ,"Albuquerque, NM",HOU,"Houston, TX"
ABQ,"Albuquerque, NM",LAX,"Los Angeles, CA"
ABQ,"Albuquerque, NM",PHX,"Phoenix, AZ"
ABQ,"Albuquerque, NM",BUR,"Burbank, CA"
ABQ,"Albuquerque, NM",AUS,"Austin, TX"
ABQ,"Albuquerque, NM",MDW,"Chicago, IL"
ABQ,"Albuquerque, NM",TUS,"Tucson, AZ"
ABQ,"Albuquerque, NM",SAT,"San Antonio, TX"
ABQ,"Albuquerque, NM",DEN,"Denver, CO"
ABQ,"Albuquerque, NM",LAS,"Las Vegas, NV"
ABQ,"Albuquerque, NM",OAK,"Oakland, CA"
ABQ,"Albuquerque, NM",SAN,"San Diego, CA"
ABQ,"Albuquerque, NM",DAL,"Dallas, TX"
ABQ,"Albuquerque, NM",HOU,"Houston, TX"
ABQ,"Albuquerque, NM",LAX,"Los Angeles, CA"
ABQ,"Albuquerque, NM",PHX,"Phoenix, AZ"
ABQ,"Albuquerque, NM",AFW,"Dallas/Fort Worth, TX"
ABQ,"Albuquerque, NM",SEA,"Seattle, WA"
ABQ,"Albuquerque, NM",PDX,"Portland, OR"
ABQ,"Albuquerque, NM",SEA,"Seattle, WA"
ABQ,"Albuquerque, NM",PDX,"Portland, OR"
ABQ,"Albuquerque, NM",PDX,"Portland, OR"
ABQ,"Albuquerque, NM",BOI,"Boise, ID"
ABQ,"Albuquerque, NM",SEA,"Seattle, WA"
ABQ,"Albuquerque, NM",PDX,"Portland, OR"
ABQ,"Albuquerque, NM",SEA,"Seattle, WA"
ABQ,"Albuquerque, NM",DEN,"Denver, CO"
ABQ,"Albuquerque, NM",IAH,"Houston, TX"
ABQ,"Albuquerque, NM",DEN,"Denver, CO"
ABQ,"Albuquerque, NM",IAH,"Houston, TX"
ABQ,"Albuquerque, NM",IAH,"Houston, TX"
ABQ,"Albuquerque, NM",DEN,"Denver, CO"
ABQ,"Albuquerque, NM",PHX,"Phoenix, AZ"
ABQ,"Albuquerque, NM",SAT,"San Antonio, TX"
ABQ,"Albuquerque, NM",DEN,"Denver, CO"
ABQ,"Albuquerque, NM",SFO,"San Francisco, CA"
ABQ,"Albuquerque, NM",IAH,"Houston, TX"
ABQ,"Albuquerque, NM",DEN,"Denver, CO"
ABQ,"Albuquerque, NM",SFO,"San Francisco, CA"
ABQ,"Albuquerque, NM",DEN,"Denver, CO"
ABQ,"Albuquerque, NM",PHX,"Phoenix, AZ"
ABR,"Aberdeen, SD",MSP,"Minneapolis, MN"
ABR,"Aberdeen, SD",FSD,"Sioux Falls, SD"
ABY,"Albany, GA",MEM,"Memphis, TN"
ABY,"Albany, GA",MCO,"Orlando, FL"
ABY,"Albany, GA",SDF,"Louisville, KY"
ABY,"Albany, GA",MSY,"New Orleans, LA"
ABY,"Albany, GA",PNS,"Pensacola, FL"
ABY,"Albany, GA",PBI,"West Palm Beach/Palm Beach, FL"
ABY,"Albany, GA",SDF,"Louisville, KY"
ABY,"Albany, GA",ATL,"Atlanta, GA"
ACK,"Nantucket, MA",HYA,"Hyannis, MA"
ACK,"Nantucket, MA",MVY,"Martha's Vineyard, MA"
ACK,"Nantucket, MA",EWB,"New Bedford/Fall River, MA"
ACK,"Nantucket, MA",HPN,"White Plains, NY"
ACK,"Nantucket, MA",BOS,"Boston, MA"
ACK,"Nantucket, MA",JFK,"New York, NY"
ACK,"Nantucket, MA",HYA,"Hyannis, MA"
ACK,"Nantucket, MA",LNK,"Lincoln, NE"
ACK,"Nantucket, MA",UIN,"Quincy, IL"
ACK,"Nantucket, MA",PVD,"Providence, RI"
ACK,"Nantucket, MA",ORD,"Chicago, IL"
ACK,"Nantucket, MA",BWI,"Baltimore, MD"
ACK,"Nantucket, MA",CLT,"Charlotte, NC"
ACK,"Nantucket, MA",PHL,"Philadelphia, PA"
ACK,"Nantucket, MA",BDL,"Hartford, CT"
ACK,"Nantucket, MA",BOS,"Boston, MA"
ACK,"Nantucket, MA",DCA,"Washington, DC"
ACK,"Nantucket, MA",LGA,"New York, NY"
ACK,"Nantucket, MA",HPN,"White Plains, NY"
ACK,"Nantucket, MA",BOS,"Boston, MA"
ACK,"Nantucket, MA",DCA,"Washington, DC"
ACK,"Nantucket, MA",JFK,"New York, NY"
ACK,"Nantucket, MA",CDW,"Caldwell, NJ"
ACK,"Nantucket, MA",CLT,"Charlotte, NC"
ACK,"Nantucket, MA",SDF,"Louisville, KY"
ACK,"Nantucket, MA",FOK,"Westhampton, NY"
ACK,"Nantucket, MA",SAN,"San Diego, CA"
ACK,"Nantucket, MA",BLI,"Bellingham, WA"
ACK,"Nantucket, MA",PVD,"Providence, RI"
ACK,"Nantucket, MA",IAD,"Washington, DC"
ACK,"Nantucket, MA",BED,"Bedford, MA"
ACK,"Nantucket, MA",ASE,"Aspen, CO"
ACK,"Nantucket, MA",LGA,"New York, NY"
ACK,"Nantucket, MA",JFK,"New York, NY"
ACK,"Nantucket, MA",LGA,"New York, NY"
ACK,"Nantucket, MA",JFK,"New York, NY"
ACK,"Nantucket, MA",HPN,"White Plains, NY"
ACK,"Nantucket, MA",FOK,"Westhampton, NY"
ACK,"Nantucket, MA",OPF,"Miami, FL"
ACK,"Nantucket, MA",BHB,"Bar Harbor, ME"
ACK,"Nantucket, MA",DXR,"Danbury, CT"
ACK,"Nantucket, MA",HTO,"East Hampton, NY"
ACK,"Nantucket, MA",OWD,"Norwood, MA"
ACK,"Nantucket, MA",NPT,"Newport, RI"
ACK,"Nantucket, MA",FID,"Fishers Island, NY"
ACK,"Nantucket, MA",MMU,"Morristown, NJ"
ACK,"Nantucket, MA",MA4,"Marshfield, MA"
ACK,"Nantucket, MA",LKP,"Lake Placid, NY"
ACK,"Nantucket, MA",BWI,"Baltimore, MD"
ACK,"Nantucket, MA",TTN,"Trenton, NJ"
ACK,"Nantucket, MA",BDL,"Hartford, CT"
ACK,"Nantucket, MA",FRG,"East Farmingdale, NY"
ACK,"Nantucket, MA",MTP,"Montauk Point, NY"
ACK,"Nantucket, MA",BED,"Bedford, MA"
ACK,"Nantucket, MA",N87,"Robbinsville, NJ"
ACK,"Nantucket, MA",NY5,"Millbrook, NY"
ACK,"Nantucket, MA",ZXU,"North Kingstown, RI"
ACK,"Nantucket, MA",HPN,"White Plains, NY"
ACK,"Nantucket, MA",BOS,"Boston, MA"
ACK,"Nantucket, MA",TEB,"Teterboro, NJ"
ACK,"Nantucket, MA",BTV,"Burlington, VT"
ACK,"Nantucket, MA",MHT,"Manchester, NH"
ACK,"Nantucket, MA",ORD,"Chicago, IL"
ACK,"Nantucket, MA",AVL,"Asheville, NC"
ACK,"Nantucket, MA",UST,"St. Augustine, FL"
ACK,"Nantucket, MA",EWR,"Newark, NJ"
ACK,"Nantucket, MA",PVD,"Providence, RI"
ACK,"Nantucket, MA",IAD,"Washington, DC"
ACK,"Nantucket, MA",BNH,"Boston, MA"
ACK,"Nantucket, MA",FOK,"Westhampton, NY"
ACK,"Nantucket, MA",PVC,"Provincetown, MA"
ACK,"Nantucket, MA",FRG,"East Farmingdale, NY"
ACK,"Nantucket, MA",UGN,"Waukegan, IL"
ACK,"Nantucket, MA",HYA,"Hyannis, MA"
ACK,"Nantucket, MA",OWD,"Norwood, MA"
ACK,"Nantucket, MA",EWB,"New Bedford/Fall River, MA"
ACK,"Nantucket, MA",PVD,"Providence, RI"
ACK,"Nantucket, MA",LNS,"Lancaster, PA"
ACT,"Waco, TX",DFW,"Dallas/Fort Worth, TX"
ACT,"Waco, TX",DFW,"Dallas/Fort Worth, TX"
ACT,"Waco, TX",DFW,"Dallas/Fort Worth, TX"
ACT,"Waco, TX",IFP,"Bullhead City, AZ"
ACV,"Arcata/Eureka, CA",SFO,"San Francisco, CA"
ACV,"Arcata/Eureka, CA",RAP,"Rapid City, SD"
ACV,"Arcata/Eureka, CA",DEN,"Denver, CO"
ACV,"Arcata/Eureka, CA",LAX,"Los Angeles, CA"
ACV,"Arcata/Eureka, CA",LAR,"Laramie, WY"
ACV,"Arcata/Eureka, CA",SFO,"San Francisco, CA"
ACV,"Arcata/Eureka, CA",PHX,"Phoenix, AZ"
ACV,"Arcata/Eureka, CA",SMF,"Sacramento, CA"
ACV,"Arcata/Eureka, CA",UKI,"Ukiah, CA"
ACV,"Arcata/Eureka, CA",CEC,"Crescent City, CA"
ACV,"Arcata/Eureka, CA",BUR,"Burbank, CA"
ACY,"Atlantic City, NJ",MIA,"Miami, FL"
ACY,"Atlantic City, NJ",TPA,"Tampa, FL"
ACY,"Atlantic City, NJ",MYR,"Myrtle Beach, SC"
ACY,"Atlantic City, NJ",ATL,"Atlanta, GA"
ACY,"Atlantic City, NJ",SJU,"San Juan, PR"
ACY,"Atlantic City, NJ",RSW,"Fort Myers, FL"
ACY,"Atlantic City, NJ",MCO,"Orlando, FL"
ACY,"Atlantic City, NJ",MYR,"Myrtle Beach, SC"
ACY,"Atlantic City, NJ",ATL,"Atlanta, GA"
ACY,"Atlantic City, NJ",FLL,"Fort Lauderdale, FL"
ACY,"Atlantic City, NJ",BOS,"Boston, MA"
ACY,"Atlantic City, NJ",MCO,"Orlando, FL"
ACY,"Atlantic City, NJ",LGA,"New York, NY"
ACY,"Atlantic City, NJ",MIA,"Miami, FL"
ACY,"Atlantic City, NJ",FLL,"Fort Lauderdale, FL"
ACY,"Atlantic City, NJ",MCO,"Orlando, FL"
ACY,"Atlantic City, NJ",EWR,"Newark, NJ"
ACY,"Atlantic City, NJ",LGA,"New York, NY"
ACY,"Atlantic City, NJ",DCA,"Washington, DC"
ACY,"Atlantic City, NJ",CLE,"Cleveland, OH"
ACY,"Atlantic City, NJ",DTW,"Detroit, MI"
ACY,"Atlantic City, NJ",BUF,"Buffalo, NY"
ACY,"Atlantic City, NJ",CMH,"Columbus, OH"
ACY,"Atlantic City, NJ",CAE,"Columbia, SC"
ACY,"Atlantic City, NJ",GSO,"Greensboro/High Point, NC"
ACY,"Atlantic City, NJ",FNT,"Flint, MI"
ACY,"Atlantic City, NJ",MKE,"Milwaukee, WI"
ACY,"Atlantic City, NJ",LBE,"Latrobe, PA"
ACY,"Atlantic City, NJ",MCN,"Macon, GA"
ACY,"Atlantic City, NJ",AGS,"Augusta, GA"
ACY,"Atlantic City, NJ",CLT,"Charlotte, NC"
ACY,"Atlantic City, NJ",ORF,"Norfolk, VA"
ACY,"Atlantic City, NJ",PGV,"Greenville, NC"
ACY,"Atlantic City, NJ",FAY,"Fayetteville, NC"
ACY,"Atlantic City, NJ",ISP,"Islip, NY"
ACY,"Atlantic City, NJ",PVD,"Providence, RI"
ACY,"Atlantic City, NJ",PIT,"Pittsburgh, PA"
ACY,"Atlantic City, NJ",BDL,"Hartford, CT"
ACY,"Atlantic City, NJ",BNA,"Nashville, TN"
ACY,"Atlantic City, NJ",MDW,"Chicago, IL"
ACY,"Atlantic City, NJ",DCA,"Washington, DC"
ACY,"Atlantic City, NJ",MHT,"Manchester, NH"
ACY,"Atlantic City, NJ",PBI,"West Palm Beach/Palm Beach, FL"
ACY,"Atlantic City, NJ",RIC,"Richmond, VA"
ACY,"Atlantic City, NJ",PWM,"Portland, ME"
ACY,"Atlantic City, NJ",ALB,"Albany, NY"
ACY,"Atlantic City, NJ",ILM,"Wilmington, NC"
ACY,"Atlantic City, NJ",CHA,"Chattanooga, TN"
ACY,"Atlantic City, NJ",PA5,"West Chester, PA"
ADK,"Adak Island, AK",ANC,"Anchorage, AK"
ADK,"Adak Island, AK",ANC,"Anchorage, AK"
ADK,"Adak Island, AK",ANC,"Anchorage, AK"
ADQ,"Kodiak, AK",AKN,"King Salmon, AK"
ADQ,"Kodiak, AK",ANC,"Anchorage, AK"
ADQ,"Kodiak, AK",AKN,"King Salmon, AK"
ADQ,"Kodiak, AK",ANC,"Anchorage, AK"
ADQ,"Kodiak, AK",ADQ,"Kodiak, AK"
ADQ,"Kodiak, AK",HOM,"Homer, AK"
ADQ,"Kodiak, AK",ANC,"Anchorage, AK"
ADQ,"Kodiak, AK",ANC,"Anchorage, AK"
ADQ,"Kodiak, AK",ANC,"Anchorage, AK"
ADQ,"Kodiak, AK",CDV,"Cordova, AK"
ADQ,"Kodiak, AK",SDP,"Sandpoint, AK"
ADQ,"Kodiak, AK",AKN,"King Salmon, AK"
ADQ,"Kodiak, AK",ANC,"Anchorage, AK"
ADQ,"Kodiak, AK",ILI,"Iliamna, AK"
ADQ,"Kodiak, AK",CDV,"Cordova, AK"
ADQ,"Kodiak, AK",ANC,"Anchorage, AK"
ADQ,"Kodiak, AK",ANC,"Anchorage, AK"
ADQ,"Kodiak, AK",ANC,"Anchorage, AK"
ADS,"Dallas, TX",AUS,"Austin, TX"
AET,"Allakaket, AK",FAI,"Fairbanks, AK"
AET,"Allakaket, AK",FAI,"Fairbanks, AK"
AET,"Allakaket, AK",FAI,"Fairbanks, AK"
AET,"Allakaket, AK",FAI,"Fairbanks, AK"
AET,"Allakaket, AK",HUS,"Hughes, AK"
AET,"Allakaket, AK",BTT,"Bettles, AK"
AET,"Allakaket, AK",SVS,"Stevens Village, AK"
AET,"Allakaket, AK",A26,"Ivotuk, AK"
AET,"Allakaket, AK",FAI,"Fairbanks, AK"
AET,"Allakaket, AK",HUS,"Hughes, AK"
AET,"Allakaket, AK",ANC,"Anchorage, AK"
AET,"Allakaket, AK",ANC,"Anchorage, AK"
AET,"Allakaket, AK",HSL,"Huslia, AK"
AEX,"Alexandria, LA",DFW,"Dallas/Fort Worth, TX"
AEX,"Alexandria, LA",ATL,"Atlanta, GA"
AEX,"Alexandria, LA",ATL,"Atlanta, GA"
AEX,"Alexandria, LA",BUF,"Buffalo, NY"
AEX,"Alexandria, LA",MIA,"Miami, FL"
AEX,"Alexandria, LA",SAT,"San Antonio, TX"
AEX,"Alexandria, LA",ELP,"El Paso, TX"
AEX,"Alexandria, LA",LAS,"Las Vegas, NV"
AEX,"Alexandria, LA",AZA,"Phoenix, AZ"
AEX,"Alexandria, LA",BED,"Bedford, MA"
AEX,"Alexandria, LA",SJU,"San Juan, PR"
AEX,"Alexandria, LA",BTV,"Burlington, VT"
AEX,"Alexandria, LA",HRL,"Harlingen/San Benito, TX"
AEX,"Alexandria, LA",BUF,"Buffalo, NY"
AEX,"Alexandria, LA",MIA,"Miami, FL"
AEX,"Alexandria, LA",SAT,"San Antonio, TX"
AEX,"Alexandria, LA",EWR,"Newark, NJ"
AEX,"Alexandria, LA",ELP,"El Paso, TX"
AEX,"Alexandria, LA",GRF,"Tacoma, WA"
AEX,"Alexandria, LA",LRD,"Laredo, TX"
AEX,"Alexandria, LA",SAN,"San Diego, CA"
AEX,"Alexandria, LA",BFI,"Seattle, WA"
AEX,"Alexandria, LA",BTR,"Baton Rouge, LA"
AEX,"Alexandria, LA",AZA,"Phoenix, AZ"
AEX,"Alexandria, LA",MSP,"Minneapolis, MN"
AEX,"Alexandria, LA",BED,"Bedford, MA"
AEX,"Alexandria, LA",TUS,"Tucson, AZ"
AEX,"Alexandria, LA",HRL,"Harlingen/San Benito, TX"
AEX,"Alexandria, LA",YUM,"Yuma, AZ"
AEX,"Alexandria, LA",DLF,"Del Rio, TX"
AFW,"Dallas/Fort Worth, TX",PHX,"Phoenix, AZ"
AFW,"Dallas/Fort Worth, TX",DEN,"Denver, CO"
AFW,"Dallas/Fort Worth, TX",BWI,"Baltimore, MD"
AFW,"Dallas/Fort Worth, TX",CLT,"Charlotte, NC"
AFW,"Dallas/Fort Worth, TX",BDL,"Hartford, CT"
AFW,"Dallas/Fort Worth, TX",BNA,"Nashville, TN"
AFW,"Dallas/Fort Worth, TX",PHX,"Phoenix, AZ"
AFW,"Dallas/Fort Worth, TX",JFK,"New York, NY"
AFW,"Dallas/Fort Worth, TX",MIA,"Miami, FL"
AFW,"Dallas/Fort Worth, TX",ORD,"Chicago, IL"
AFW,"Dallas/Fort Worth, TX",ONT,"Ontario, CA"
AFW,"Dallas/Fort Worth, TX",IAH,"Houston, TX"
AFW,"Dallas/Fort Worth, TX",ELP,"El Paso, TX"
AFW,"Dallas/Fort Worth, TX",OAK,"Oakland, CA"
AFW,"Dallas/Fort Worth, TX",MEM,"Memphis, TN"
AFW,"Dallas/Fort Worth, TX",IND,"Indianapolis, IN"
AFW,"Dallas/Fort Worth, TX",ATL,"Atlanta, GA"
AFW,"Dallas/Fort Worth, TX",LAX,"Los Angeles, CA"
AFW,"Dallas/Fort Worth, TX",SJC,"San Jose, CA"
AFW,"Dallas/Fort Worth, TX",LBB,"Lubbock, TX"
AFW,"Dallas/Fort Worth, TX",AUS,"Austin, TX"
AFW,"Dallas/Fort Worth, TX",ICT,"Wichita, KS"
AFW,"Dallas/Fort Worth, TX",SHV,"Shreveport, LA"
AFW,"Dallas/Fort Worth, TX",SLC,"Salt Lake City, UT"
AFW,"Dallas/Fort Worth, TX",MSP,"Minneapolis, MN"
AFW,"Dallas/Fort Worth, TX",IND,"Indianapolis, IN"
AFW,"Dallas/Fort Worth, TX",TUL,"Tulsa, OK"
AFW,"Dallas/Fort Worth, TX",PHX,"Phoenix, AZ"
AFW,"Dallas/Fort Worth, TX",MCI,"Kansas City, MO"
AFW,"Dallas/Fort Worth, TX",ORD,"Chicago, IL"
AFW,"Dallas/Fort Worth, TX",SAT,"San Antonio, TX"
